media_id,permalink,timestamp,media_type,media_product_type,caption,transcript_path,transcript_text_present,transcript_char_count,duration_s,resolution,bitrate_mbps,scene_cuts,cuts_per_min,views,reach,likes,comments,saved,shares,plays,impressions,video_views,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time,data_quality_flags,missing_reason
18097383601965066,https://www.instagram.com/reel/DVr9sDiFOKE/,2026-03-10T02:20:00+0000,VIDEO,REELS,"If you’ve got something to share, we want to hear it 🗣️ Visit the link in our bio to apply to be a speaker at an upcoming lecture. 

Looking for speakers in San Diego, Orange County, and Denver 📍

#thesocialstudy #sandiego #orangecountyevents #thinkanddrink #denverthingstodo",exports/instagram/thesocial.study/reels/transcripts/18097383601965066.txt,True,435,23.08,720x1280,1.123,14,36.4,6833,5394,84,4,22,16,,,,126,5069,27620179,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18411416599123500,https://www.instagram.com/reel/DVl0FI-FAFl/,2026-03-07T17:00:00+0000,VIDEO,REELS,"Late night hang out turned lecture hall 🤝 Because it’s all about balance. Check the link in our bio to see our upcoming events. New tickets drop every Sunday at 10 AM PST. You won’t wanna miss a drop! 🎟️

#socialstudy #thinkanddrink #sandiegoevents",exports/instagram/thesocial.study/reels/transcripts/18411416599123500.txt,True,514,24.15,720x1280,2.519,18,44.73,11358,8116,111,2,20,18,,,,153,5949,51131872,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18168294067403788,https://www.instagram.com/reel/DVd-vhuFGin/,2026-03-04T16:00:00+0000,VIDEO,REELS,"Come see what all the hype is about! Tickets drop every Sunday at 10 AM PST. We sell out fast, so you’re not gonna want to miss a drop! 🎟️

#thinkanddrink #sandiego #orangecountyevents #thesocialstudy",exports/instagram/thesocial.study/reels/transcripts/18168294067403788.txt,True,593,29.37,720x1280,1.235,14,28.6,6007,4460,44,1,4,19,,,,70,3903,19707145,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
17938918989153793,https://www.instagram.com/reel/DVSUj5IkaLR/,2026-02-28T03:22:01+0000,VIDEO,REELS,"Any of these topics pique your interest? Lectures just like these and more are happening now. Visit our website to buy tickets. Link in bio. 👀

🎟️ Be first in line! Tickets drop every SUNDAY at 10 AM PST

#thinkanddrink #thesocialstudy #thingstodosandiego #sandiegosocial",exports/instagram/thesocial.study/reels/transcripts/17938918989153793.txt,True,20,18.06,720x1280,1.263,8,26.57,12398,9416,112,3,35,17,,,,171,5586,52422456,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18218341246311402,https://www.instagram.com/reel/DVFWGl-kTch/,2026-02-23T02:25:21+0000,VIDEO,REELS,"Pregaming a symphony with a glass of wine and some context 🤌🎻 

One of our favorite San Diego lectures yet! If you missed it, don’t worry — we have a lot more interesting topics coming soon. 

Tickets drop every Sunday at 10 AM PST. Visit the link in our bio to learn more. 🎟️ 

#sandiegoevents #sandiegosymphony #sandiegolife #thinkanddrink",exports/instagram/thesocial.study/reels/transcripts/18218341246311402.txt,True,594,30.44,720x1280,1.105,20,39.42,9400,7504,96,2,7,13,,,,118,4553,34587046,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18076572743523942,https://www.instagram.com/reel/DVALVo7EZDC/,2026-02-21T02:17:29+0000,VIDEO,REELS,"Time to socialize with your friends, then time to lock in on the speaker. 🧠🍻 We’ve got lots of events coming soon! Follow us to stay up to date on the schedule. 

🎟️ Tickets go on sale every Sunday at 10 AM PST. 

#thesocialstudy #sandiegoevents #thinkanddrink",exports/instagram/thesocial.study/reels/transcripts/18076572743523942.txt,True,141,12.79,720x1280,1.585,16,75.04,12439,9113,85,3,10,14,,,,112,4474,44207035,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
17914308063297598,https://www.instagram.com/reel/DU7Qe0nEaYo/,2026-02-19T04:23:00+0000,VIDEO,REELS,"Calling all San Diego, Orange County, and Denver intellectuals 🧠 This one’s for you. Tickets drop every Sunday at 10 AM PST. 

#sandiegoevents #orangecountyevents #thinkanddrink #thesocialstudy",exports/instagram/thesocial.study/reels/transcripts/17914308063297598.txt,True,458,23.66,720x1280,1.272,12,30.43,15422,11947,110,3,24,64,,,,202,4993,61748490,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
17964496635040675,https://www.instagram.com/reel/DUtzs80iRSr/,2026-02-13T23:00:00+0000,VIDEO,REELS,"@carmenkoepfer talking sharks and ocean conservation in a packed Huntington Beach brewery is an ideal night out. 🌊 

We’ve got a lot more events like this coming soon. Check the link in our bio to learn more. 

🎟️ Tickets drop every Sunday at 10 AM PST

#orangecounty #orangecountyevents #thinkanddrink #thesocialstudy",exports/instagram/thesocial.study/reels/transcripts/17964496635040675.txt,True,82,9.94,720x1280,1.217,22,132.84,14131,9444,304,3,34,56,,,,402,4823,50300218,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18150180937443607,https://www.instagram.com/reel/DUj9_FBkeFq/,2026-02-10T03:17:56+0000,VIDEO,REELS,"In 2026, we’re making our nights out at the bar more mentally stimulating. 🧠 We’re packing bars and breweries every week with industry experts & curious people. Purchase tickets for our next event at the link in our bio 🔗 Tickets drop every Sunday at 10 AM. 

#thesocialstudy #thinkanddrink #thingstodosandiego #orangecountyevents",exports/instagram/thesocial.study/reels/transcripts/18150180937443607.txt,True,630,32.69,720x1280,1.12,24,44.05,19403,16183,297,8,99,71,,,,475,6747,101736328,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
18061229483321567,https://www.instagram.com/reel/DUeJAUkEgXs/,2026-02-07T21:02:09+0000,VIDEO,REELS,"The Social Study made its Denver last week! 🍻

Fentanyl isn’t just a border issue—it’s a global supply chain shaped by policy, incentives, and enforcement. Researcher Jeremiah Anthony broke down what actually changes outcomes, and why the details matter more than the headlines.

Stay tuned for more Denver events coming soon. Tickets drop every Sunday at 10 AM PST. 🎟️

#thesocialstudy #thingstododenver #thinkanddrink",exports/instagram/thesocial.study/reels/transcripts/18061229483321567.txt,True,691,39.45,720x1280,1.016,2,3.04,9015,6888,242,8,25,52,,,,328,7719,52088517,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
17944665035973849,https://www.instagram.com/reel/DUR8cSwkYNV/,2026-02-03T03:18:08+0000,VIDEO,REELS,"🫂 Understanding Cults and the Human Need For Belonging
💬 How ChatGPT Handles Your Data (And How to Keep it Yours)
💰 Your Money, Your Mind: Why Smart People Stay Stuck

These are just a few of the recent topics we’ve hosted talks on. Interested in the next event? Tickets drop every Sunday at 10 am PST. We sell out fast – you won’t want to miss it!",exports/instagram/thesocial.study/reels/transcripts/17944665035973849.txt,True,443,22.99,720x1280,1.433,12,31.32,8828,7759,78,1,22,19,,,,121,5106,35022828,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
17921248953237892,https://www.instagram.com/reel/DUCSVZRkeRI/,2026-01-28T01:21:40+0000,VIDEO,REELS,"For your next date night, may we suggest an evening of learning new things and exchanging
ideas? Grab a drink, hear from the experts, and hang around after the lecture to debrief on what
you’ve learned. Switch it up and give your brain a night out. 💡🍺",exports/instagram/thesocial.study/reels/transcripts/17921248953237892.txt,True,166,14.79,720x1280,1.149,10,40.57,19778,15887,311,12,95,66,,,,487,5004,75124961,api_partial_or_errors,"{""impressions"": ""unsupported_for_media_product_type"", ""plays"": ""deprecated_in_graph_v22_plus"", ""video_views"": ""unsupported_for_media_product_type""}"
